mName,id,nametype,recclass,mass (g),fall,year,reclat,reclong,GeoLocation (address),GeoLocation (zip),GeoLocation (city),GeoLocation,GeoLocation (state)
Aarhus,2,Valid,H6,720,Fell,01/01/1951 12:00:00 AM,56.18333,10.23333,,,,POINT (10.23333 56.18333),
Abee,6,Valid,EH4,107000,Fell,01/01/1952 12:00:00 AM,54.21667,-113,,,,POINT (-113 54.21667),
Acapulco,10,Valid,Acapulcoite,1914,Fell,01/01/1976 12:00:00 AM,16.88333,-99.9,,,,POINT (-99.9 16.88333),
Achiras,370,Valid,L6,780,Fell,01/01/1902 12:00:00 AM,-33.16667,-64.95,,,,POINT (-64.95 -33.16667),
Adhi Kot,379,Valid,EH4,4239,Fell,01/01/1919 12:00:00 AM,32.1,71.8,,,,POINT (71.8 32.1),
Adzhi-Bogdo (stone),390,Valid,LL3-6,910,Fell,01/01/1949 12:00:00 AM,44.83333,95.16667,,,,POINT (95.16667 44.83333),
Agen,392,Valid,H5,30000,Fell,01/01/1814 12:00:00 AM,44.21667,0.61667,,,,POINT (0.61667 44.21667),
Aguada,398,Valid,L6,1620,Fell,01/01/1930 12:00:00 AM,-31.6,-65.23333,,,,POINT (-65.23333 -31.6),
Aguila Blanca,417,Valid,L,1440,Fell,01/01/1920 12:00:00 AM,-30.86667,-64.55,,,,POINT (-64.55 -30.86667),
Aioun el Atrouss,423,Valid,Diogenite-pm,1000,Fell,01/01/1974 12:00:00 AM,16.39806,-9.57028,,,,POINT (-9.57028 16.39806),
Aïr,424,Valid,L6,24000,Fell,01/01/1925 12:00:00 AM,19.08333,8.38333,,,,POINT (8.38333 19.08333),
Akaba,426,Valid,L6,779,Fell,01/01/1949 12:00:00 AM,29.51667,35.05,,,,POINT (35.05 29.51667),
Akbarpur,427,Valid,H4,1800,Fell,01/01/1838 12:00:00 AM,29.71667,77.95,,,,POINT (77.95 29.71667),
Akwanga,432,Valid,H,3000,Fell,01/01/1959 12:00:00 AM,8.91667,8.43333,,,,POINT (8.43333 8.91667),
Akyumak,433,Valid,"Iron, IVA",50000,Fell,01/01/1981 12:00:00 AM,39.91667,42.81667,,,,POINT (42.81667 39.91667),
Al Rais,446,Valid,CR2-an,160,Fell,01/01/1957 12:00:00 AM,24.41667,39.51667,,,,POINT (39.51667 24.41667),
Al Zarnkh,447,Valid,LL5,700,Fell,01/01/2001 12:00:00 AM,13.66033,28.96,,,,POINT (28.96 13.66033),
Alais,448,Valid,CI1,6000,Fell,01/01/1806 12:00:00 AM,44.11667,4.08333,,,,POINT (4.08333 44.11667),
Albareto,453,Valid,L/LL4,2000,Fell,01/01/1766 12:00:00 AM,44.65,11.01667,,,,POINT (11.01667 44.65),
Alberta,454,Valid,L,625,Fell,01/01/1949 12:00:00 AM,2,22.66667,,,,POINT (22.66667 2),
Alby sur Chéran,458,Valid,Eucrite-mmict,252,Fell,01/01/2002 12:00:00 AM,45.82133,6.01533,,,,POINT (6.01533 45.82133),
Aldsworth,461,Valid,LL5,700,Fell,01/01/1835 12:00:00 AM,51.78333,-1.78333,,,,POINT (-1.78333 51.78333),
Aleppo,462,Valid,L6,3200,Fell,01/01/1873 12:00:00 AM,36.23333,37.13333,,,,POINT (37.13333 36.23333),
Alessandria,463,Valid,H5,908,Fell,01/01/1860 12:00:00 AM,44.88333,8.75,,,,POINT (8.75 44.88333),
Alexandrovsky,465,Valid,H4,9251,Fell,01/01/1900 12:00:00 AM,50.95,31.81667,,,,POINT (31.81667 50.95),
Alfianello,466,Valid,L6,228000,Fell,01/01/1883 12:00:00 AM,45.26667,10.15,,,,POINT (10.15 45.26667),
Allegan,2276,Valid,H5,32000,Fell,01/01/1899 12:00:00 AM,42.53333,-85.88333,,,,POINT (-85.88333 42.53333),
Allende,2278,Valid,CV3,2000000,Fell,01/01/1969 12:00:00 AM,26.96667,-105.31667,,,,POINT (-105.31667 26.96667),
Almahata Sitta,48915,Valid,Ureilite-an,3950,Fell,01/01/2008 12:00:00 AM,20.74575,32.41275,,,,POINT (32.41275 20.74575),
Alta'ameem,2284,Valid,LL5,6000,Fell,01/01/1977 12:00:00 AM,35.27333,44.21556,,,,POINT (44.21556 35.27333),
Ambapur Nagla,2290,Valid,H5,6400,Fell,01/01/1895 12:00:00 AM,27.66667,78.25,,,,POINT (78.25 27.66667),
Andhara,2294,Valid,Stone-uncl,2700,Fell,01/01/1880 12:00:00 AM,26.58333,85.56667,,,,POINT (85.56667 26.58333),
Andover,2295,Valid,L6,3200,Fell,01/01/1898 12:00:00 AM,44.61667,-70.75,,,,POINT (-70.75 44.61667),
Andreevka,2296,Valid,L3,600,Fell,01/01/1969 12:00:00 AM,48.7,37.5,,,,POINT (37.5 48.7),
Andura,2298,Valid,H6,17900,Fell,01/01/1939 12:00:00 AM,20.88333,76.86667,,,,POINT (76.86667 20.88333),
Northwest Africa 5815,50693,Valid,L5,256.8,Found,,0,0,,,,POINT (0 0),
Angra dos Reis (stone),2302,Valid,Angrite,1500,Fell,01/01/1869 12:00:00 AM,-22.96667,-44.31667,,,,POINT (-44.31667 -22.96667),
Ankober,2304,Valid,H4,6500,Fell,01/01/1942 12:00:00 AM,9.53333,39.71667,,,,POINT (39.71667 9.53333),
Anlong,2305,Valid,H5,2500,Fell,01/01/1971 12:00:00 AM,25.15,105.18333,,,,POINT (105.18333 25.15),
Aomori,2313,Valid,L6,320,Fell,01/01/1984 12:00:00 AM,40.81056,140.78556,,,,POINT (140.78556 40.81056),
Appley Bridge,2318,Valid,LL6,15000,Fell,01/01/1914 12:00:00 AM,53.58333,-2.71667,,,,POINT (-2.71667 53.58333),
Apt,2320,Valid,L6,3200,Fell,01/01/1803 12:00:00 AM,43.86667,5.38333,,,,POINT (5.38333 43.86667),
Arbol Solo,2325,Valid,H5,810,Fell,01/01/1954 12:00:00 AM,-33,-66,,,,POINT (-66 -33),
Archie,2329,Valid,H6,5070,Fell,01/01/1932 12:00:00 AM,38.5,-94.3,,,,POINT (-94.3 38.5),
Arroyo Aguiar,2340,Valid,H5,7450,Fell,01/01/1950 12:00:00 AM,-31.41667,-60.66667,,,,POINT (-60.66667 -31.41667),
Ash Creek,48954,Valid,L6,9500,Fell,01/01/2009 12:00:00 AM,31.805,-97.01,,,,POINT (-97.01 31.805),
Ashdon,2346,Valid,L6,1300,Fell,01/01/1923 12:00:00 AM,52.05,0.3,,,,POINT (0.3 52.05),
Assisi,2353,Valid,H5,2000,Fell,01/01/1886 12:00:00 AM,43.03333,12.55,,,,POINT (12.55 43.03333),
Atarra,4883,Valid,L4,1280,Fell,01/01/1920 12:00:00 AM,25.25417,80.625,,,,POINT (80.625 25.25417),
Athens,4885,Valid,LL6,265,Fell,01/01/1933 12:00:00 AM,34.75,-87,,,,POINT (-87 34.75),
Atoka,4888,Valid,L6,1384.2,Fell,01/01/1945 12:00:00 AM,34.31667,-96.15,,,,POINT (-96.15 34.31667),
Aubres,4893,Valid,Aubrite,800,Fell,01/01/1836 12:00:00 AM,44.38333,5.16667,,,,POINT (5.16667 44.38333),
Aumale,4899,Valid,L6,50000,Fell,01/01/1865 12:00:00 AM,36.16667,3.66667,,,,POINT (3.66667 36.16667),
Aumieres,4900,Valid,L6,2000,Fell,01/01/1842 12:00:00 AM,44.33333,3.23333,,,,POINT (3.23333 44.33333),
Ausson,4903,Valid,L5,50000,Fell,01/01/1858 12:00:00 AM,43.08333,0.58333,,,,POINT (0.58333 43.08333),
Avanhandava,4905,Valid,H4,9330,Fell,01/01/1952 12:00:00 AM,-21.46028,-49.95083,,,,POINT (-49.95083 -21.46028),
Avce,4906,Valid,"Iron, IIAB",1230,Fell,01/01/1908 12:00:00 AM,46,13.5,,,,POINT (13.5 46),
Avilez,4907,Valid,H,146,Fell,01/01/1855 12:00:00 AM,25,-103.5,,,,POINT (-103.5 25),
Awere,4910,Valid,L4,134,Fell,01/01/1968 12:00:00 AM,2.71667,32.83333,,,,POINT (32.83333 2.71667),
Aztec,4913,Valid,L6,2830,Fell,01/01/1938 12:00:00 AM,36.8,-108,,,,POINT (-108 36.8),
Bachmut,4917,Valid,L6,18000,Fell,01/01/1814 12:00:00 AM,48.6,38,,,,POINT (38 48.6),
Bahjoi,4922,Valid,"Iron, IAB-sLL",10322,Fell,01/01/1934 12:00:00 AM,28.48333,78.5,,,,POINT (78.5 28.48333),
Bald Mountain,4925,Valid,L4,3700,Fell,01/01/1929 12:00:00 AM,35.96667,-82.48333,,,,POINT (-82.48333 35.96667),
Baldwyn,4926,Valid,L6,345,Fell,01/01/1922 12:00:00 AM,34.5,-88.66667,,,,POINT (-88.66667 34.5),
Bali,4928,Valid,CV3,1000,Fell,01/01/1907 12:00:00 AM,5.38333,16.38333,,,,POINT (16.38333 5.38333),
Ban Rong Du,4934,Valid,"Iron, ungrouped",16700,Fell,01/01/1993 12:00:00 AM,16.66667,101.18333,,,,POINT (101.18333 16.66667),
Bandong,4935,Valid,LL6,11500,Fell,01/01/1871 12:00:00 AM,-6.91667,107.6,,,,POINT (107.6 -6.91667),
Bansur,4936,Valid,L6,15000,Fell,01/01/1892 12:00:00 AM,27.7,76.33333,,,,POINT (76.33333 27.7),
Banten,4938,Valid,CM2,629,Fell,01/01/1933 12:00:00 AM,-6.33333,106,,,,POINT (106 -6.33333),
Barbotan,4942,Valid,H5,6400,Fell,01/01/1790 12:00:00 AM,43.95,-0.05,,,,POINT (-0.05 43.95),
Barea,4946,Valid,Mesosiderite-A1,3200,Fell,01/01/1842 12:00:00 AM,42.38333,-2.5,,,,POINT (-2.5 42.38333),
Baroti,4949,Valid,L6,4500,Fell,01/01/1910 12:00:00 AM,31.61667,76.8,,,,POINT (76.8 31.61667),
Barwell,4954,Valid,L5,44000,Fell,01/01/1965 12:00:00 AM,52.56528,-1.33972,,,,POINT (-1.33972 52.56528),
Bassikounou,44876,Valid,H5,29560,Fell,01/01/2006 12:00:00 AM,15.78333,-5.9,,,,POINT (-5.9 15.78333),
Baszkówka,4957,Valid,L5,15500,Fell,01/01/1994 12:00:00 AM,52.03333,20.93583,,,,POINT (20.93583 52.03333),
Bath,4974,Valid,H4,21000,Fell,01/01/1892 12:00:00 AM,45.41667,-98.31667,,,,POINT (-98.31667 45.41667),
Bath Furnace,4975,Valid,L6,86000,Fell,01/01/1902 12:00:00 AM,38.25,-83.75,,,,POINT (-83.75 38.25),
Battle Mountain,56133,Valid,L6,2900,Fell,01/01/2012 12:00:00 AM,40.66813,-117.18913,,,,POINT (-117.18913 40.66813),
Bawku,4976,Valid,LL5,1557,Fell,01/01/1989 12:00:00 AM,11.08333,-0.18333,,,,POINT (-0.18333 11.08333),
Baxter,4977,Valid,L6,611,Fell,01/01/1916 12:00:00 AM,36.75,-93.5,,,,POINT (-93.5 36.75),
Beardsley,4984,Valid,H5,16000,Fell,01/01/1929 12:00:00 AM,39.8,-101.2,,,,POINT (-101.2 39.8),
Beaver Creek,4986,Valid,H5,14000,Fell,01/01/1893 12:00:00 AM,51.16667,-117.33333,,,,POINT (-117.33333 51.16667),
Beddgelert,4993,Valid,H5,794,Fell,01/01/1949 12:00:00 AM,53.01667,-4.1,,,,POINT (-4.1 53.01667),
Bells,5005,Valid,C2-ung,375,Fell,01/01/1961 12:00:00 AM,33.6,-96.46667,,,,POINT (-96.46667 33.6),
Benares (a),5011,Valid,LL4,3700,Fell,01/01/1798 12:00:00 AM,25.36667,82.91667,,,,POINT (82.91667 25.36667),
Benguerir,30443,Valid,LL6,25000,Fell,01/01/2004 12:00:00 AM,32.25,-8.15,,,,POINT (-8.15 32.25),
Beni M'hira,5018,Valid,L6,19000,Fell,01/01/2001 12:00:00 AM,32.86667,10.8,,,,POINT (10.8 32.86667),
Benld,5021,Valid,H6,1770.5,Fell,01/01/1938 12:00:00 AM,39.08333,-89.15,,,,POINT (-89.15 39.08333),
Benoni,5023,Valid,H6,3880,Fell,01/01/1943 12:00:00 AM,-26.16667,28.41667,,,,POINT (28.41667 -26.16667),
Bensour,5024,Valid,LL6,45000,Fell,01/01/2002 12:00:00 AM,30,-7,,,,POINT (-7 30),
Benton,5026,Valid,LL6,2840,Fell,01/01/1949 12:00:00 AM,45.95,-67.55,,,,POINT (-67.55 45.95),
Berduc,48975,Valid,L6,270,Fell,01/01/2008 12:00:00 AM,-31.91,-58.32833,,,,POINT (-58.32833 -31.91),
Béréba,5028,Valid,Eucrite-mmict,18000,Fell,01/01/1924 12:00:00 AM,11.65,-3.65,,,,POINT (-3.65 11.65),
Berlanguillas,5029,Valid,L6,1440,Fell,01/01/1811 12:00:00 AM,41.68333,-3.8,,,,POINT (-3.8 41.68333),
Berthoud,47355,Valid,Eucrite-mmict,960,Fell,01/01/2004 12:00:00 AM,40.30583,-105.02325,,,,POINT (-105.02325 40.30583),
Beuste,5034,Valid,L5,2000,Fell,01/01/1859 12:00:00 AM,43.21667,-0.23333,,,,POINT (-0.23333 43.21667),
Beyrout,5035,Valid,LL3.8,1100,Fell,01/01/1921 12:00:00 AM,33.88333,35.5,,,,POINT (35.5 33.88333),
Bhawad,36591,Valid,LL6,678,Fell,01/01/2002 12:00:00 AM,26.50833,73.11528,,,,POINT (73.11528 26.50833),
Bherai,5039,Valid,L6,100,Fell,01/01/1893 12:00:00 AM,20.83333,71.46667,,,,POINT (71.46667 20.83333),
Bhola,5040,Valid,LL3-6,1047,Fell,01/01/1940 12:00:00 AM,22.68333,90.65,,,,POINT (90.65 22.68333),
Bholghati,5041,Valid,Howardite,2500,Fell,01/01/1905 12:00:00 AM,22.08333,86.9,,,,POINT (86.9 22.08333),
Bialystok,5042,Valid,Eucrite-pmict,4000,Fell,01/01/1827 12:00:00 AM,53.1,23.2,,,,POINT (23.2 53.1),
Bielokrynitschie,5043,Valid,H4,1900,Fell,01/01/1887 12:00:00 AM,50.13333,27.16667,,,,POINT (27.16667 50.13333),
Bilanga,5045,Valid,Diogenite,25000,Fell,01/01/1999 12:00:00 AM,12.45,-0.08333,,,,POINT (-0.08333 12.45),
Binningup,5051,Valid,H5,488.1,Fell,01/01/1984 12:00:00 AM,-33.15639,115.67639,,,,POINT (115.67639 -33.15639),
Birni N'konni,5056,Valid,H4,560,Fell,01/01/1923 12:00:00 AM,13.76667,5.3,,,,POINT (5.3 13.76667),
Bishopville,5059,Valid,Aubrite,6000,Fell,01/01/1843 12:00:00 AM,34.16667,-80.28333,,,,POINT (-80.28333 34.16667),
Bishunpur,5060,Valid,LL3.15,1039,Fell,01/01/1895 12:00:00 AM,25.38333,82.6,,,,POINT (82.6 25.38333),
Bjelaja Zerkov,5063,Valid,H6,1850,Fell,01/01/1796 12:00:00 AM,49.78333,30.16667,,,,POINT (30.16667 49.78333),
Bjurböle,5064,Valid,L/LL4,330000,Fell,01/01/1899 12:00:00 AM,60.4,25.8,,,,POINT (25.8 60.4),
Black Moshannan Park,5065,Valid,L5,705,Fell,01/01/1941 12:00:00 AM,40.91667,-78.08333,,,,POINT (-78.08333 40.91667),
Blackwell,5068,Valid,L5,2381,Fell,01/01/1906 12:00:00 AM,36.83333,-97.33333,,,,POINT (-97.33333 36.83333),
Blanket,5071,Valid,L6,5100,Fell,01/01/1909 12:00:00 AM,31.83333,-98.83333,,,,POINT (-98.83333 31.83333),
Blansko,5072,Valid,H6,470,Fell,01/01/1833 12:00:00 AM,49.36667,16.63333,,,,POINT (16.63333 49.36667),
Bo Xian,5090,Valid,LL3.9,7500,Fell,01/01/1977 12:00:00 AM,33.83333,115.83333,,,,POINT (115.83333 33.83333),
Bogou,5097,Valid,"Iron, IAB-MG",8800,Fell,01/01/1962 12:00:00 AM,12.5,0.7,,,,POINT (0.7 12.5),
Boguslavka,5098,Valid,"Iron, IIAB",256000,Fell,01/01/1916 12:00:00 AM,44.55,131.63333,,,,POINT (131.63333 44.55),
Borgo San Donino,5110,Valid,LL6,1676,Fell,01/01/1808 12:00:00 AM,44.86667,10.05,,,,POINT (10.05 44.86667),
Bori,5111,Valid,L6,8600,Fell,01/01/1894 12:00:00 AM,21.95,78.03333,,,,POINT (78.03333 21.95),
Boriskino,5112,Valid,CM2,1342,Fell,01/01/1930 12:00:00 AM,54.23333,52.48333,,,,POINT (52.48333 54.23333),
Borkut,5113,Valid,L5,7000,Fell,01/01/1852 12:00:00 AM,48.15,24.28333,,,,POINT (24.28333 48.15),
Borodino,5114,Valid,H5,500,Fell,01/01/1812 12:00:00 AM,55.46667,35.86667,,,,POINT (35.86667 55.46667),
Botschetschki,5117,Valid,L4,614,Fell,01/01/1823 12:00:00 AM,51.33333,33.88333,,,,POINT (33.88333 51.33333),
Boumdeid (2003),57168,Valid,L6,190,Fell,01/01/2003 12:00:00 AM,17.71067,-11.3715,,,,POINT (-11.3715 17.71067),
Boumdeid (2011),57167,Valid,L6,3599,Fell,01/01/2011 12:00:00 AM,17.17493,-11.34133,,,,POINT (-11.34133 17.17493),
Bovedy,5121,Valid,L3,5460,Fell,01/01/1969 12:00:00 AM,54.56667,-6.33333,,,,POINT (-6.33333 54.56667),
Bradford Woods,5128,Valid,L,762,Fell,01/01/1886 12:00:00 AM,40.5,-80.08333,,,,POINT (-80.08333 40.5),
Braunau,5133,Valid,"Iron, IIAB",39000,Fell,01/01/1847 12:00:00 AM,50.6,16.3,,,,POINT (16.3 50.6),
Breitscheid,5134,Valid,H5,1500,Fell,01/01/1956 12:00:00 AM,50.66694,8.18361,,,,POINT (8.18361 50.66694),
Bremervörde,5135,Valid,H/L3.9,7250,Fell,01/01/1855 12:00:00 AM,53.4,9.1,,,,POINT (9.1 53.4),
Brient,5140,Valid,Eucrite-pmict,219,Fell,01/01/1933 12:00:00 AM,52.13333,59.31667,,,,POINT (59.31667 52.13333),
Bruderheim,5156,Valid,L6,303000,Fell,01/01/1960 12:00:00 AM,53.9,-112.88333,,,,POINT (-112.88333 53.9),
Bukhara,30448,Valid,CV3,5300,Fell,01/01/2001 12:00:00 AM,39.77978,64.60035,,,,POINT (64.60035 39.77978),
Bulls Run,5163,Valid,Iron?,2250,Fell,01/01/1964 12:00:00 AM,,,,,,,
Bunburra Rockhole,48653,Valid,Eucrite,324,Fell,01/01/2007 12:00:00 AM,-31.35,129.19,,,,POINT (129.19 -31.35),
Bununu,5165,Valid,Howardite,357,Fell,01/01/1942 12:00:00 AM,10.01667,9.58333,,,,POINT (9.58333 10.01667),
Bur-Gheluai,5169,Valid,H5,120000,Fell,01/01/1919 12:00:00 AM,5,48,,,,POINT (48 5),
Burnwell,5175,Valid,H4-an,1504,Fell,01/01/1990 12:00:00 AM,37.62194,-82.23722,,,,POINT (-82.23722 37.62194),
Bursa,5177,Valid,L6,25000,Fell,01/01/1946 12:00:00 AM,40.2,29.23333,,,,POINT (29.23333 40.2),
Buschhof,5178,Valid,L6,5000,Fell,01/01/1863 12:00:00 AM,46.45,25.78333,,,,POINT (25.78333 46.45),
Bustee,5181,Valid,Aubrite,1500,Fell,01/01/1852 12:00:00 AM,26.78333,82.83333,,,,POINT (82.83333 26.78333),
Butsura,5183,Valid,H6,29000,Fell,01/01/1861 12:00:00 AM,27.08333,84.08333,,,,POINT (84.08333 27.08333),
Buzzard Coulee,48654,Valid,H4,41000,Fell,01/01/2008 12:00:00 AM,52.996,-109.84817,,,,POINT (-109.84817 52.996),
Cabezo de Mayo,5185,Valid,L/LL6,25000,Fell,01/01/1870 12:00:00 AM,37.98333,-1.16667,,,,POINT (-1.16667 37.98333),
Cabin Creek,5186,Valid,"Iron, IIIAB",48500,Fell,01/01/1886 12:00:00 AM,35.5,-93.5,,,,POINT (-93.5 35.5),
Cacak,5187,Valid,OC,212,Fell,01/01/1919 12:00:00 AM,43.83889,20.33333,,,,POINT (20.33333 43.83889),
Cali,45976,Valid,H/L4,478,Fell,01/01/2007 12:00:00 AM,3.405,-76.51,,,,POINT (-76.51 3.405),
Calivo,5200,Valid,Stone-uncl,2400,Fell,01/01/1916 12:00:00 AM,11.75,122.33333,,,,POINT (122.33333 11.75),
Campos Sales,5249,Valid,L5,23680,Fell,01/01/1991 12:00:00 AM,-7.03333,-40.16667,,,,POINT (-40.16667 -7.03333),
Çanakkale,5250,Valid,L6,4000,Fell,01/01/1964 12:00:00 AM,39.8,26.6,,,,POINT (26.6 39.8),
Cañellas,5251,Valid,H4,945,Fell,01/01/1861 12:00:00 AM,41.25,1.66667,,,,POINT (1.66667 41.25),
Cangas de Onis,5252,Valid,H5,34000,Fell,01/01/1866 12:00:00 AM,43.38333,-5.15,,,,POINT (-5.15 43.38333),
Canon City,5253,Valid,H6,1400,Fell,01/01/1973 12:00:00 AM,38.47028,-105.24139,,,,POINT (-105.24139 38.47028),
Cape Girardeau,5260,Valid,H6,2300,Fell,01/01/1846 12:00:00 AM,37.26667,-89.58333,,,,POINT (-89.58333 37.26667),
Capilla del Monte,5264,Valid,H6,750,Fell,01/01/1934 12:00:00 AM,-30.88333,-64.55,,,,POINT (-64.55 -30.88333),
Carancas,45817,Valid,H4-5,342,Fell,01/01/2007 12:00:00 AM,-16.66444,-69.04389,,,,POINT (-69.04389 -16.66444),
Castalia,5291,Valid,H5,7300,Fell,01/01/1874 12:00:00 AM,36.08333,-78.06667,,,,POINT (-78.06667 36.08333),
Castrovillari,5295,Valid,Stone-uncl,15000,Fell,01/01/1583 12:00:00 AM,39.8,16.2,,,,POINT (16.2 39.8),
Caswell County,5296,Valid,OC,1360,Fell,01/01/1810 12:00:00 AM,36.5,-79.25,,,,POINT (-79.25 36.5),
Ceniceros,5306,Valid,L3.7,1025,Fell,01/01/1988 12:00:00 AM,26.46667,-105.23333,,,,POINT (-105.23333 26.46667),
Cereseto,5308,Valid,H5,6460,Fell,01/01/1840 12:00:00 AM,45.08333,8.3,,,,POINT (8.3 45.08333),
Chadong,5313,Valid,L6,3700,Fell,01/01/1998 12:00:00 AM,28.53333,109.31667,,,,POINT (109.31667 28.53333),
Chainpur,5315,Valid,LL3.4,8200,Fell,01/01/1907 12:00:00 AM,25.85,83.48333,,,,POINT (83.48333 25.85),
Chajari,5316,Valid,L5,18300,Fell,01/01/1933 12:00:00 AM,-30.78333,-58.05,,,,POINT (-58.05 -30.78333),
Chandakapur,5320,Valid,L5,8800,Fell,01/01/1838 12:00:00 AM,20.26667,76.01667,,,,POINT (76.01667 20.26667),
Chandpur,5321,Valid,L6,1100,Fell,01/01/1885 12:00:00 AM,27.28333,79.05,,,,POINT (79.05 27.28333),
Changde,5322,Valid,H5,1810,Fell,01/01/1977 12:00:00 AM,29.08333,111.75,,,,POINT (111.75 29.08333),
Chantonnay,5325,Valid,L6,31500,Fell,01/01/1812 12:00:00 AM,46.68333,1.05,,,,POINT (1.05 46.68333),
Charlotte,5328,Valid,"Iron, IVA",4300,Fell,01/01/1835 12:00:00 AM,36.16667,-87.33333,,,,POINT (-87.33333 36.16667),
Charsonville,5329,Valid,H6,27000,Fell,01/01/1810 12:00:00 AM,47.93333,1.56667,,,,POINT (1.56667 47.93333),
Charwallas,5330,Valid,H6,12000,Fell,01/01/1834 12:00:00 AM,29.48333,75.5,,,,POINT (75.5 29.48333),
Chassigny,5331,Valid,Martian (chassignite),4000,Fell,01/01/1815 12:00:00 AM,47.71667,5.36667,,,,POINT (5.36667 47.71667),
Château-Renard,5332,Valid,L6,30000,Fell,01/01/1841 12:00:00 AM,47.93333,2.91667,,,,POINT (2.91667 47.93333),
Chaves,5334,Valid,Howardite,2945,Fell,01/01/1925 12:00:00 AM,41.93333,-7.46667,,,,POINT (-7.46667 41.93333),
Chela,5338,Valid,H4,2936,Fell,01/01/1988 12:00:00 AM,-3.66667,32.5,,,,POINT (32.5 -3.66667),
Chelyabinsk,57165,Valid,LL5,100000,Fell,01/01/2013 12:00:00 AM,54.81667,61.11667,,,,POINT (61.11667 54.81667),
Chergach ,47347,Valid,H5,100000,Fell,01/01/2007 12:00:00 AM,23.69639,-5.01472,,,,POINT (-5.01472 23.69639),
Chernyi Bor,5339,Valid,H4,6000,Fell,01/01/1964 12:00:00 AM,53.7,30.1,,,,POINT (30.1 53.7),
Cherokee Springs,5340,Valid,LL6,8400,Fell,01/01/1933 12:00:00 AM,35.03333,-81.88333,,,,POINT (-81.88333 35.03333),
Chervettaz,5341,Valid,L5,705,Fell,01/01/1901 12:00:00 AM,46.55,6.81667,,,,POINT (6.81667 46.55),
Chervony Kut,5342,Valid,Eucrite-mmict,1700,Fell,01/01/1939 12:00:00 AM,50.83333,34,,,,POINT (34 50.83333),
Chiang Khan,5345,Valid,H6,367,Fell,01/01/1981 12:00:00 AM,17.9,101.63333,,,,POINT (101.63333 17.9),
Chicora,5349,Valid,LL6,303,Fell,01/01/1938 12:00:00 AM,40.93333,-79.73333,,,,POINT (-79.73333 40.93333),
Chisenga,5355,Valid,"Iron, IIIAB",3920,Fell,01/01/1988 12:00:00 AM,-10.05944,33.395,,,,POINT (33.395 -10.05944),
Chitenay,5357,Valid,L6,4000,Fell,01/01/1978 12:00:00 AM,47.47083,0.97667,,,,POINT (0.97667 47.47083),
Cilimus,5364,Valid,L5,1600,Fell,01/01/1979 12:00:00 AM,-6.95,108.1,,,,POINT (108.1 -6.95),
Claxton,5374,Valid,L6,1455,Fell,01/01/1984 12:00:00 AM,32.1025,-81.87278,,,,POINT (-81.87278 32.1025),
Colby (Wisconsin),5395,Valid,L6,104000,Fell,01/01/1917 12:00:00 AM,44.9,-90.28333,,,,POINT (-90.28333 44.9),
Cold Bokkeveld,5397,Valid,CM2,5200,Fell,01/01/1838 12:00:00 AM,-33.13333,19.38333,,,,POINT (19.38333 -33.13333),
Coleman,5401,Valid,L6,469,Fell,01/01/1994 12:00:00 AM,43.76111,-84.50778,,,,POINT (-84.50778 43.76111),
Collescipoli,5403,Valid,H5,5000,Fell,01/01/1890 12:00:00 AM,42.53333,12.61667,,,,POINT (12.61667 42.53333),
Conquista,5418,Valid,H4,20350,Fell,01/01/1965 12:00:00 AM,-19.85,-47.55,,,,POINT (-47.55 -19.85),
Cosina,5451,Valid,H5,1200,Fell,01/01/1844 12:00:00 AM,21.16667,-100.86667,,,,POINT (-100.86667 21.16667),
Cranganore,5465,Valid,L6,1460,Fell,01/01/1917 12:00:00 AM,10.2,76.26667,,,,POINT (76.26667 10.2),
Cronstad,5474,Valid,H5,3650,Fell,01/01/1877 12:00:00 AM,-27.7,27.3,,,,POINT (27.3 -27.7),
Cross Roads,5476,Valid,H5,167,Fell,01/01/1892 12:00:00 AM,35.63333,-78.13333,,,,POINT (-78.13333 35.63333),
Crumlin,5477,Valid,L5,4255,Fell,01/01/1902 12:00:00 AM,54.61667,-6.21667,,,,POINT (-6.21667 54.61667),
Cumberland Falls,5496,Valid,Aubrite,17000,Fell,01/01/1919 12:00:00 AM,36.83333,-84.35,,,,POINT (-84.35 36.83333),
Cynthiana,5500,Valid,L/LL4,6000,Fell,01/01/1877 12:00:00 AM,38.4,-84.25,,,,POINT (-84.25 38.4),
Dahmani,5504,Valid,LL6,18000,Fell,01/01/1981 12:00:00 AM,35.61667,8.83333,,,,POINT (8.83333 35.61667),
Dandapur,5511,Valid,L6,5650,Fell,01/01/1878 12:00:00 AM,26.91667,83.96667,,,,POINT (83.96667 26.91667),
Daniel's Kuil,5513,Valid,EL6,1064,Fell,01/01/1868 12:00:00 AM,-28.2,24.56667,,,,POINT (24.56667 -28.2),
Danville,5514,Valid,L6,2000,Fell,01/01/1868 12:00:00 AM,34.4,-87.06667,,,,POINT (-87.06667 34.4),
Darmstadt,6603,Valid,H5,100,Fell,01/01/1804 12:00:00 AM,49.86667,8.65,,,,POINT (8.65 49.86667),
Dashoguz,6604,Valid,H5,7000,Fell,01/01/1998 12:00:00 AM,41.98444,59.685,,,,POINT (59.685 41.98444),
Daule,51559,Valid,L5,6580,Fell,01/01/2008 12:00:00 AM,-1.87089,-79.95756,,,,POINT (-79.95756 -1.87089),
